rank	strain	log growth rate	number of samples
B.1.1.7	14.4189	312710
B.1.526	13.0265	5191
B.1.526.1	12.9845	2370
P.1	12.9674	2556
B.1.351	12.5767	8224
B.1.525	12.0147	1338
B.1.526.2	12.0076	1759
B.1.1.318	11.3299	308
B.1.617	11.1242	231
P.3	11.0648	101
B.1.1.519	10.4911	7866
B.1.429	9.80988	18537
B.1.214.2	9.61939	598
R.1	9.60951	1933
B.1.427	9.23904	7827
A.23.1	8.83856	556
B.1.466.2	8.69936	430
B.1.214.3	8.57969	75
R.2	8.57152	52
A.27	8.47583	246
B.1.575	8.39427	1224
A.2.5	8.38953	599
A.28	8.36065	171
AA.7	8.25445	108
P.2	8.20731	1965
B.1.517.1	8.19468	175
B.1.1.420	8.18034	453
B.1.575.1	8.16089	108
B.1.243.1	7.79646	25
AA.5	7.75066	62
B.1.258.17	7.65402	5107
B.1.466.1	7.62977	65
B.1.36.31	7.6096	362
B.1.214.4	7.59015	90
AB.1	7.56303	114
B.1.177.76	7.32683	301
U.2	7.25611	92
B.1.36.27	7.23566	323
C.16	7.23165	598
B.1.177.46	7.19744	194
B.1.604	7.1084	40
B.1.258.24	7.08543	30
B.1.177.73	7.07714	1038
B.1.177.58	7.04253	723
B.1.1.374	7.03626	157
B.1.177.12	6.99993	5129
Y.1	6.96807	74
AA.4	6.92414	96
B.1.1.348	6.88823	573
B.1.1.328	6.81731	45
B.1.616	6.81447	23
B.1.177.37	6.81133	36
B.1.177.18	6.7929	792
B.1.177.39	6.77656	65
AA.6	6.72467	58
B.1.177.42	6.69323	929
B.1.127	6.63907	414
AA.3	6.61827	37
AA.2	6.61332	126
B.1.177.30	6.59495	338
B.1.177.80	6.58681	241
B.1.177.61	6.51127	20
B.1.177.86	6.49058	4382
B.1.177.34	6.47387	15
B.1.177.62	6.4722	704
U.3	6.44632	82
B.1.534	6.44207	62
B.1.551	6.43884	466
AM.4	6.42742	173
B.1.562	6.4114	52
B.1.258.22	6.39089	197
AA.8	6.39051	47
B.1.177.28	6.38535	82
B.1.1.397	6.37887	274
A.21	6.37039	151
B.1.1.333	6.36224	639
B.1.177.41	6.36117	214
B.1.177.85	6.34133	171
B.1.177.10	6.33411	1062
AA	6.33125	1343
B.1.221.3	6.32238	1036
B.1.177.16	6.2997	1413
B.1.568	6.29902	493
B.1.1.393	6.29805	7
B.1.160.24	6.29178	188
B.1.177.79	6.28928	697
C.1.1	6.26337	12
B.1.36.37	6.26253	146
B.1.160.21	6.2604	43
B.1.177.5	6.24473	769
V.2	6.21748	31
W.4	6.21428	736
B.1.177.67	6.20565	123
B.1.36.36	6.20426	631
B.1.177.63	6.19726	363
U	6.19485	1991
B.1.36.39	6.16032	177
B.1.1.345	6.13488	22
L.3	6.12243	203
AM.3	6.10174	32
B.1.177.32	6.09663	479
B.1.36.18	6.09393	1242
B.1.177.35	6.0929	1091
B.1.221.4	6.08856	210
B.1.258.14	6.0796	432
AD.1	6.07086	219
B.1.177.82	6.06865	957
B.1.36.21	6.06717	291
B.1.177.6	6.0542	876
N.9	6.04424	67
B.1.160.26	6.041	344
AM.1	6.03464	10
B.1.36.25	6.0317	361
B.1.177.59	6.02908	52
B.1.177.49	6.01772	30
B.1.177.65	6.01658	1471
B.1.177.81	6.016	3809
B.1.177.72	6.00801	261
U.1	6.00281	77
AA.1	5.9977	112
B.1.258.16	5.99462	532
B.1.177.7	5.98776	5803
B.1.404	5.9676	466
B.1.160.8	5.96709	657
B.1.160.9	5.95655	126
D.4	5.94905	16
B.1.524	5.93524	338
B.1.160.7	5.87795	401
B.1.258.11	5.86332	1991
B.1.177.77	5.85915	1188
B.1.177.83	5.84028	490
B.1.177.78	5.83869	94
B.1.588.1	5.83126	26
B.1.258.19	5.80411	116
AJ.1	5.79684	18
B.1.258.4	5.79124	258
B.1.177.40	5.78695	180
B.1.36.2	5.78431	86
B.1.531	5.78222	13
W.2	5.7686	195
B.1.258.20	5.76662	53
B.1.160.17	5.75986	530
B.1.177.68	5.75814	74
B.1.177.64	5.75758	11
B.1.160.33	5.75148	204
B.1.177.87	5.72217	1226
Z.1	5.72159	350
B.1.177.74	5.71363	49
V	5.69836	1535
B.1.177.36	5.69567	63
B.1.1.413	5.6954	61
